"datetime","date","account_type","category","type","asset_class","name","symbol","shares","price","amount","fee","tax","currency","original_amount","original_currency","fx_rate","description","transaction_id","counterparty_name","counterparty_iban","payment_reference","mcc_code"
"2025-06-06T09:50:00.000Z","2025-06-06","DEFAULT","TRADING","BUY","FUND","Core S&P 500 USD (Acc)","IE00B5BMR087","0.6000000000","590.000000","-354.00","-1.00","","EUR","","","","Buy trade IE00B5BMR087 Core S&P 500 USD (Acc), quantity: 0.6","demo-0018","","","",""
"2025-06-20T12:00:00.000Z","2025-06-20","DEFAULT","CASH","INTEREST_PAYMENT","","","","","","3.42","","-0.90","EUR","","","","Interest payment","demo-0019","","","",""
"2025-07-01T08:15:00.000Z","2025-07-01","DEFAULT","CASH","TRANSFER_INBOUND","","","","","","400.000000","","","EUR","","","","Incoming transfer from Max Musterman","demo-0020","","","",""
"2025-07-05T10:05:00.000Z","2025-07-05","DEFAULT","TRADING","BUY","CRYPTO","Bitcoin","BTC","0.0030000000","58500.000000","-175.50","","","EUR","","","","Buy trade BTC Bitcoin, quantity: 0.003","demo-0021","","","",""
"2025-07-15T10:15:00.000Z","2025-07-15","DEFAULT","TRADING","SELL","STOCK","Rocket Lab","US7731211089","-5.0000000000","22.500000","112.50","-1.00","-5.25","EUR","","","","Sell trade US7731211089 Rocket Lab, quantity: 5","demo-0022","","","",""
"2025-08-01T08:15:00.000Z","2025-08-01","DEFAULT","CASH","TRANSFER_INBOUND","","","","","","500.000000","","","EUR","","","","Incoming transfer from Max Musterman","demo-0023","","","",""
"2025-08-07T09:35:00.000Z","2025-08-07","DEFAULT","TRADING","BUY","STOCK","Amazon","US0231351067","2.0000000000","165.000000","-330.00","-1.00","","EUR","","","","Buy trade US0231351067 Amazon, quantity: 2","demo-0024","","","",""
"2025-08-18T12:00:00.000Z","2025-08-18","DEFAULT","CASH","DIVIDEND","STOCK","Apple","US0378331005","","","3.10","","-0.82","EUR","","","","Dividend Apple","demo-0025","","","",""
"2025-09-02T08:15:00.000Z","2025-09-02","DEFAULT","CASH","TRANSFER_INBOUND","","","","","","500.000000","","","EUR","","","","Incoming transfer from Max Musterman","demo-0026","","","",""
"2025-09-08T09:20:00.000Z","2025-09-08","DEFAULT","TRADING","BUY","FUND","Core MSCI World USD (Acc)","IE00B4L5Y983","3.0000000000","101.000000","-303.00","-1.00","","EUR","","","","Buy trade IE00B4L5Y983 Core MSCI World USD (Acc), quantity: 3","demo-0027","","","",""
"2025-10-03T08:15:00.000Z","2025-10-03","DEFAULT","CASH","TRANSFER_INBOUND","","","","","","500.000000","","","EUR","","","","Incoming transfer from Max Musterman","demo-0028","","","",""
"2025-10-10T10:00:00.000Z","2025-10-10","DEFAULT","TRADING","BUY","STOCK","Meta Platforms","US30303M1027","1.0000000000","500.000000","-500.00","-1.00","","EUR","","","","Buy trade US30303M1027 Meta Platforms, quantity: 1","demo-0029","","","",""
"2025-11-04T08:15:00.000Z","2025-11-04","DEFAULT","CASH","TRANSFER_INBOUND","","","","","","500.000000","","","EUR","","","","Incoming transfer from Max Musterman","demo-0030","","","",""
"2025-11-12T09:45:00.000Z","2025-11-12","DEFAULT","TRADING","BUY","CRYPTO","Ethereum","ETH","0.0800000000","2550.000000","-204.00","","","EUR","","","","Buy trade ETH Ethereum, quantity: 0.08","demo-0031","","","",""
"2025-12-02T08:15:00.000Z","2025-12-02","DEFAULT","CASH","TRANSFER_INBOUND","","","","","","500.000000","","","EUR","","","","Incoming transfer from Max Musterman","demo-0032","","","",""
"2025-12-09T11:20:00.000Z","2025-12-09","DEFAULT","TRADING","BUY","FUND","Core S&P 500 USD (Acc)","IE00B5BMR087","0.5000000000","610.000000","-305.00","-1.00","","EUR","","","","Buy trade IE00B5BMR087 Core S&P 500 USD (Acc), quantity: 0.5","demo-0033","","","",""
"2026-01-05T08:15:00.000Z","2026-01-05","DEFAULT","CASH","TRANSFER_INBOUND","","","","","","600.000000","","","EUR","","","","Incoming transfer from Max Musterman","demo-0034","","","",""
"2026-01-09T09:50:00.000Z","2026-01-09","DEFAULT","TRADING","BUY","FUND","Core MSCI World USD (Acc)","IE00B4L5Y983","5.0000000000","104.000000","-520.00","-1.00","","EUR","","","","Buy trade IE00B4L5Y983 Core MSCI World USD (Acc), quantity: 5","demo-0035","","","",""
"2026-02-02T08:15:00.000Z","2026-02-02","DEFAULT","CASH","TRANSFER_INBOUND","","","","","","600.000000","","","EUR","","","","Incoming transfer from Max Musterman","demo-0036","","","",""
"2026-02-06T10:30:00.000Z","2026-02-06","DEFAULT","TRADING","BUY","STOCK","Rocket Lab","US7731211089","10.0000000000","19.500000","-195.00","-1.00","","EUR","","","","Buy trade US7731211089 Rocket Lab, quantity: 10","demo-0037","","","",""
"2026-02-20T12:00:00.000Z","2026-02-20","DEFAULT","CASH","DIVIDEND","STOCK","Apple","US0378331005","","","3.60","","-0.95","EUR","","","","Dividend Apple","demo-0038","","","",""
"2026-03-03T08:15:00.000Z","2026-03-03","DEFAULT","CASH","TRANSFER_INBOUND","","","","","","600.000000","","","EUR","","","","Incoming transfer from Max Musterman","demo-0039","","","",""
"2026-03-10T10:00:00.000Z","2026-03-10","DEFAULT","TRADING","SELL","STOCK","Apple","US0378331005","-1.0000000000","205.000000","205.00","-1.00","-7.50","EUR","","","","Sell trade US0378331005 Apple, quantity: 1","demo-0040","","","",""
"2026-03-18T09:40:00.000Z","2026-03-18","DEFAULT","TRADING","BUY","CRYPTO","Bitcoin","BTC","0.0020000000","64000.000000","-128.00","","","EUR","","","","Buy trade BTC Bitcoin, quantity: 0.002","demo-0041","","","",""
"2026-04-01T08:15:00.000Z","2026-04-01","DEFAULT","CASH","TRANSFER_INBOUND","","","","","","600.000000","","","EUR","","","","Incoming transfer from Max Musterman","demo-0042","","","",""
"2026-04-07T09:35:00.000Z","2026-04-07","DEFAULT","TRADING","BUY","FUND","Core S&P 500 USD (Acc)","IE00B5BMR087","0.7000000000","630.000000","-441.00","-1.00","","EUR","","","","Buy trade IE00B5BMR087 Core S&P 500 USD (Acc), quantity: 0.7","demo-0043","","","",""
"2026-05-04T08:15:00.000Z","2026-05-04","DEFAULT","CASH","TRANSFER_INBOUND","","","","","","600.000000","","","EUR","","","","Incoming transfer from Max Musterman","demo-0044","","","",""
"2026-05-08T09:35:00.000Z","2026-05-08","DEFAULT","TRADING","BUY","STOCK","Alphabet (C)","US02079K1079","1.0000000000","170.000000","-170.00","-1.00","","EUR","","","","Buy trade US02079K1079 Alphabet (C), quantity: 1","demo-0045","","","",""
